AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DLC count,About the game,Supported languages,Full audio languages,Reviews,Header image,Website,Support url,Support email,Windows,Mac,Linux,Metacritic score,Metacritic url,User score,Positive,Negative,Score rank,Achievements,Recommendations,Notes,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres,Tags,Screenshots,Movies
1818570,"Threes!","Feb 5, 2024","0 - 20000",3,0,5.99,1,"Threes is tiny puzzle that grows on you. ³ Endless challenge from one simple game mode ³ An endearing cast of characters ³ A heart-warming soundtrack ∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞ From the makers of PUZZLEJUICE: ³ Designed by Asher Vollmer ³ Illustrated by Greg Wohlwend (Ridiculous Fishing, Hundreds) ³ Scored by Jimmy Hinson (Beast Breaker, Mass Effect 2) ³ Optimized by Hidden Variable (Bag It!, Tic Tactics) ∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞ Thanks to Kenney for the controller icons. ∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞ Threes grows with you and you’ll grow with Threes.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Dutch', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese']","['English', 'Traditional Chinese']","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1818570/header.jpg?t=1707202948","http://threesgame.com","https://asherv.com/threes/support/","",True,True,False,0,"",0,32,0,"",16,0,"",0,0,0,0,"Asher Vollmer,Greg Wohlwend,BigGiantCircles","Sirvo LLC","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Casual,Indie","Puzzle,Match 3,Relaxing,Rogue-like,Turn-Based Tactics,2D,Casual,Cute,Sokoban,Abstract,Minimalist,Colorful,Logic,Score Attack,Old School,Grid-Based Movement,Resource Management,Singleplayer,Soundtrack,Indie","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1818570/ss_ed1dc636564af2ee70411a16c95922a846d74bb3.1920x1080.jpg?t=1707202948,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1818570/ss_26f1e160a9299b2505e4d98e18355a4152877872.1920x1080.jpg?t=1707202948,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1818570/ss_761cbfd0d278707c2921703dcb08bda1dcfc0556.1920x1080.jpg?t=1707202948,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1818570/ss_3e85a9342ed9abe886ec0df79f23f265111f716e.1920x1080.jpg?t=1707202948,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1818570/ss_d9aae8b5c4e9a947452b5661510e366847f5c331.1920x1080.jpg?t=1707202948","http://cdn.akamai.steamstatic.com/steam/apps/256993672/movie_max.mp4?t=1705511905"
2972040,"The Gap","Jun 4, 2024","0 - 0",0,0,0.0,3,"Experience the highs and lows that come with endlessly trying to cross The Gap Mind-bending Features: Perceive The Gap Gaze at The Gap Walk around Watch the other side talk without you Be transformed by The Gap Blame The Gap for all your misfortunes Wave Bathe in the misery of The Gap Thoroughly enjoy the frustration that comes with feeling stuck on either side of The Gap Become contempt with the concept of Gap Shout Constantly question your place within The Gap Do a Flip! Try to find a way out of The Gap","['English']","['English']","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2972040/header.jpg?t=1717571633","","","kosmikdev@outlook.com",True,False,False,0,"",0,0,0,"",7,0,"",0,0,0,0,"Kosmik Games","Kosmik Games","Single-player,Steam Achievements,Full controller support,Steam Cloud","Casual,Indie,Free to Play","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2972040/ss_7d17211b17e668ea3248e04ccf1b004b49d9be81.1920x1080.jpg?t=1717571633,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2972040/ss_08e83190e60167445847dea8232e93ca0b2762cc.1920x1080.jpg?t=1717571633,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2972040/ss_9491ff19b38ab028665c9af9a800f603f30abc3a.1920x1080.jpg?t=1717571633,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2972040/ss_c341d6194f2bfcd2d844a774377e49f6b71fd9a8.1920x1080.jpg?t=1717571633,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2972040/ss_906bd8d0b1a99f80b5b1afd41a6530dda9ea844e.1920x1080.jpg?t=1717571633","http://cdn.akamai.steamstatic.com/steam/apps/257021624/movie_max.mp4?t=1715871326"
997050,"Hentai Like a Boss","Jan 24, 2019","0 - 20000",0,0,1.99,0,"Hentai like a boss is a Infinity Clicker game That you need to click on blocks to get coins and see the girls withouth any censure. Use coins to undress characters. Artist: R -AUTO-MODE - 60+ ACHIEVEMENTS -GOOD MUSIC Just relax and Enjoy. Try to get high Scores and be happy! All characters are over the age of 18.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Vietnamese']","[]","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/997050/header.jpg?t=1679691261","","https://www.facebook.com/RED13INDIE/","hello.rxiii@gmail.com",True,False,False,0,"",0,7,5,"",100,0,"This game may contain content not suitable for all ages or for viewing at work: Nudity or sexual content, Non-specific adult content",0,0,0,0,"RedHentai","RedHentai","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support,Remote Play Together,Family Sharing","Casual,Indie,Simulation","Indie,Casual,Nudity,Sexual Content","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/997050/ss_50430c46eb865a1d776b335764a920323957c376.1920x1080.jpg?t=1679691261,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/997050/ss_b5735d44c9a9a5b03e2d872ef1489cce0caf33f2.1920x1080.jpg?t=1679691261,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/997050/ss_95bffad0b358fd09ae1145838fc74a33f74fa4f3.1920x1080.jpg?t=1679691261,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/997050/ss_960ddaa7839ca2c7b46a4e5bb51ef656cf0a9654.1920x1080.jpg?t=1679691261,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/997050/ss_50328a5ef6650061702797deb574315d212197b7.1920x1080.jpg?t=1679691261,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/997050/ss_006f672d2463f9ee8cc39715bc7b8d4341a50e74.1920x1080.jpg?t=1679691261,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/997050/ss_b1ef0e57aac41fefdafc77329c46e53190c041de.1920x1080.jpg?t=1679691261,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/997050/ss_fda409fd907449ce8c4c78129085b3682d82a7eb.1920x1080.jpg?t=1679691261","http://cdn.akamai.steamstatic.com/steam/apps/256739990/movie_max.mp4?t=1546965416"
2097550,"Folktale","Sep 2, 2022","0 - 20000",0,0,1.99,0,"In Game: Key Features: - Challenging combat that requires skill and strategy to overcome - A compelling storyline that will keep you engaged from start to finish - Stunning visuals and immersive sound design that bring the world to life - Whether you're a fan of RPGs, rogue-likes, or just love a good story, this game has something for everyone. Become the hero you were meant to be and embark on a journey of a lifetime in this unforgettable adventure, made by one person.","['English']","['English']","“The game’s fun. Better than some games that only focus on graphics and shit. Heck it’s even better than WWE2K20. If you played that game, you’ll know what I mean.” - AJStylesPL1 “I'm a fan of the combined moves you included, like the sprint-attack &amp; counterattack after blocking (which has very satisfying audiovisual feedback when you land it, well done)! The animation in general is the most charming aspect of the game.” - squashysquish","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2097550/header.jpg?t=1717457109","","","alternateemail1234512@gmail.com",True,True,False,0,"",0,7,1,"",0,0,"",0,0,0,0,"gbae","gbae","Single-player,Family Sharing","Action,Adventure,Casual,Indie,RPG","Action,Adventure,RPG,3D Fighter,Action RPG,3D Platformer,3D,Medieval,Indie,Combat,Controller,Singleplayer,Action-Adventure,Story Rich,Fantasy,Casual,Action Roguelike,Rogue-like,Colorful,Family Friendly","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2097550/ss_fb655d5fad56925977a5a26ddc130a532252b8c2.1920x1080.jpg?t=1717457109,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2097550/ss_2a2c6bd03c9f781a91d486b5a01e784a50b274bb.1920x1080.jpg?t=1717457109,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2097550/ss_607b6d15c21bce643a86e3a8cf03ec88d85082e4.1920x1080.jpg?t=1717457109,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2097550/ss_2ec0895005f0091044fa61e12261e4367c543697.1920x1080.jpg?t=1717457109,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2097550/ss_ac11f37481b9470f9aff3daa48ea14bfabc9d167.1920x1080.jpg?t=1717457109","http://cdn.akamai.steamstatic.com/steam/apps/256939659/movie_max.mp4?t=1680687844"
2491690,"Shroom & Doom","Jul 21, 2023","0 - 0",0,0,0.0,0,"Shroom &amp; Doom is a top-down tower-defense game where you play as a little robot that has crash landed on an alien planet. You must defeat waves of bug-like enemies and use the biomass they drop to build towers made from the local mushrooms. These towers are your only hope at defending yourself from the ever increasing onslaught of vicious enemies Defend yourself against waves of increasing intensity Face off against three unique enemies Use biomass obtained from the local fauna to grow your own defensive towers Play again and again to get farther and beat your highscore This game was developed as a student project at DigiPen Institute of Technology and was created for educational purposes only. Please check out our publisher page for more information.","['English']","[]","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2491690/header.jpg?t=1689988537","","https://www.digipen.edu/","games@digipen.edu",True,False,False,0,"",0,0,0,"",0,0,"",0,0,0,0,"Whole Hearted Games","DigiPen Institute of Technology","Single-player","Action,Casual,Free to Play","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2491690/ss_d5233b3842cd742a6a8015007137f3cd5ce80037.1920x1080.jpg?t=1689988537,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2491690/ss_923f19b68266243489892d8a43288e880e05a5f5.1920x1080.jpg?t=1689988537,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2491690/ss_9bcb2f3e0f9ecac1f01fbb2b127e437cbdcb0cc6.1920x1080.jpg?t=1689988537,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2491690/ss_a44ba032e0f2f94fc45f3a8768d48c4b2e4a88e0.1920x1080.jpg?t=1689988537,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2491690/ss_d9d99158afe64df560ff1e784940d25b796d3ea6.1920x1080.jpg?t=1689988537","http://cdn.akamai.steamstatic.com/steam/apps/256955410/movie_max.mp4?t=1688051769"
458590,"ABE VR","Jun 23, 2016","50000 - 100000",0,0,0.0,0,"ABE VR is an intense experience that recreates the horrifying story about a misguided robot seeking the unconditional love of humans…at whatever cost. Created in Unreal Engine, and continuing our filmmaking in virtual reality, ABE VR is based on ABE the multi-award winning short film, and planned feature film, written and directed by Rob McLellan. No longer do you have to just watch the film, you now get to experience it as a character. Specifically, ABE’s chosen victim.","['English']","['English']","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/458590/header.jpg?t=1472589312","http://www.hammerheadvr.com/abe/","http://www.hammerheadvr.com/","hello@hammerheadvr.com",True,False,False,0,"",0,185,116,"",0,0,"",0,0,0,0,"Hammerhead VR","Hammerhead VR","Single-player,Tracked Controller Support,VR Only,Partial Controller Support","Adventure","Adventure,VR,Horror,Free to Play,Psychological Horror","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/458590/ss_0a32862bc06ba6a35e119288004543d1f44509b3.1920x1080.jpg?t=1472589312,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/458590/ss_7bf2a0001ed61801008faae5cb20b30aa39ad21d.1920x1080.jpg?t=1472589312,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/458590/ss_4d92c9ed6c221cda8c2eae5273080a2acf7149d4.1920x1080.jpg?t=1472589312,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/458590/ss_5152b6633f51453da9f1e6dbb339569c69e72dd5.1920x1080.jpg?t=1472589312,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/458590/ss_ee0a59dde627de1a7252d86fdd93138a7f95948c.1920x1080.jpg?t=1472589312","http://cdn.akamai.steamstatic.com/steam/apps/256663475/movie_max.mp4?t=1466628416"
2449830,"Forest Horror","Jun 9, 2023","0 - 20000",0,0,7.99,0,"Forest Horror is an addictive horror game that will immerse you in a world of horror. You have to explore the mysterious forest and complete many tasks to get out of there alive. However, danger and fear await at every step. The forest is abandoned and filled with monsters. You will pass through the deep wilds of this forest. You will pass through abandoned buildings, see cars that have become a pile of iron. But be careful, the monsters are already waiting for you and the most terrible trials of your life are waiting for you. Can you get out of this forest alive? Find out in Forest Horror and take this test track. All in all, Forest Horror is a real challenge for horror fans. The forest creates a suffocating atmosphere, and the monsters keep you in suspense throughout the entire passage of the game. Can you get out of the forest? Try your hand at Forest Horror and immerse yourself in this horror adventure! Game Features: 1. Nice graphics. 2. Interesting gameplay. 3. Large location where you can move freely.","['English', 'Russian']","[]","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2449830/header.jpg?t=1686297862","","","21eremin21@gmail.com",True,False,False,0,"",0,28,16,"",0,0,"",0,0,0,0,"Neki4 Electronics","Neki4 Electronics","Single-player,Family Sharing","Action","Dark,Exploration,Realistic,Action,Puzzle,Survival,Stealth,3D,First-Person,Atmospheric,Singleplayer,Horror","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2449830/ss_d19842290339010ed09bdb9e5286c67a1135a07d.1920x1080.jpg?t=1686297862,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2449830/ss_b5026736675d9898ca2671ec3c1e0eeec7482e0e.1920x1080.jpg?t=1686297862,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2449830/ss_9f28877a2b108e991fd9afcebdb2c0f35dc67ffa.1920x1080.jpg?t=1686297862,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2449830/ss_817b522a63d1f53d7c6fc7ea0aba1e2caa86adbc.1920x1080.jpg?t=1686297862,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2449830/ss_7d594ee8210c1229215c563663795951766db81b.1920x1080.jpg?t=1686297862,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2449830/ss_b7744462a86277d64ba26ce1f212d6d452ae3938.1920x1080.jpg?t=1686297862","http://cdn.akamai.steamstatic.com/steam/apps/256948858/movie_max.mp4?t=1685167451"
623170,"Zombie Solitaire 2 Chapter 2","Oct 9, 2017","0 - 20000",2,0,1.07,0,"Solitaire fun for the whole family! For how long will you manage to escape from the zombies this time? So far, all rescue attempts have been futile. Once again you will have to prevail in engaging Solitaire matches and exciting Match 3 duels. Use your sweet ammo to treat those pesky zombies to a sugar shock! Escaping from zombies has never been that much fun! 3rd instalment of the hit series 'Zombie Solitaire' Wacky multiple-choice adventures in which your decisions influence how the story develops Engaging zombie tale full of fun ideas Optimized and even more challenging solitaire levels 100+ exciting levels Numerous power-ups and useful wildcards Challenging Match 3 duels Entertaining mini games of various genres such as adventure quests and puzzles …and lots of zombies, of course! MORE OF OUR GREAT CASUAL GAMES / /","['English', 'French', 'German']","[]","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/623170/header.jpg?t=1696887217","http://www.rokaplay.com","","support@rokaplay.com",True,False,False,0,"",0,49,7,"",16,0,"",0,0,0,0,"rokaplay","rokaplay","Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Casual,Indie,Strategy","Solitaire,Casual,Indie,Strategy,Board Game,Trading Card Game,Zombies,Puzzle,Match 3,Card Game,2D,Cartoony,Linear,Story Rich,Tabletop,Singleplayer,Adventure","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/623170/ss_709a34e40ff37edccf3df4f9264dd1e5cb2a4ef4.1920x1080.jpg?t=1696887217,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/623170/ss_ea3154525b5e5c090298747a7c90fb9d53b74bf8.1920x1080.jpg?t=1696887217,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/623170/ss_9130b0431f12ef0e0684f195738ebf137c1f3314.1920x1080.jpg?t=1696887217,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/623170/ss_2e2ac5b984a915219837470dc0aad9046e1308d9.1920x1080.jpg?t=1696887217,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/623170/ss_9eb49c6fb68d6867d1774542c234fe21ae78d2e1.1920x1080.jpg?t=1696887217,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/623170/ss_87be5649a7498a5ab400e513c354a4d00007b3dd.1920x1080.jpg?t=1696887217,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/623170/ss_ec6dcdbe303f8d4530c859c9ca41249168d2abd8.1920x1080.jpg?t=1696887217,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/623170/ss_0e26ca867f94627b97930c78f45102cc44a900b7.1920x1080.jpg?t=1696887217","http://cdn.akamai.steamstatic.com/steam/apps/256692374/movie_max.mp4?t=1502954972"
1884850,"Sad Ghouls","Dec 9, 2023","0 - 20000",0,0,0.99,0,"Sad Ghouls is a singleplayer arcade survival shooter, where endless hordes of ghouls constantly stream into the arena. Kill enemies to score points and increment the combo counter. Getting higher combo means better weapons and sometimes new weapons. All score from kills gets multiplied by the combo counter. Choosing a higher difficulty setting results in tougher enemies that grant higher score. But a chill player can choose an easier difficulty to chill and still have a chance to appear on the leaderboard. Customize Select weapons, level and options that change the flow of the game. Humble beginnings Start small with weak weapons. Level up Kill ghouls to level up your weapons. Obliterate the ghouls Use powerful weapons to destroy the opposition. Don't get overrun No time to rest, enemies get stronger over time. Global leaderboards View leaderboards and compete with friends and strangers. Top 10 players on the leaderboard get a chance for a wizard with their name to visit other players. Special waves Experience special frenzy, devil and wizard waves. Gameplay features: 8 different weapons 3 differnet enemies 4 different maps 4 difficulties Global leaderboards 11+ steam achievements and many more planned features.... Contributions can be found in the community hub.","['English']","['English']","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1884850/header.jpg?t=1702147327","","","halo123proplem@gmail.com",True,False,False,0,"",0,15,0,"",21,0,"",0,0,0,0,"Cool Birb Studio","Cool Birb Studio","Single-player,Steam Achievements,Steam Leaderboards,Family Sharing","Action,Casual,Indie","Indie,Action,Arcade,Shooter,Arena Shooter,Casual,FPS,Survival,First-Person,3D,Colorful,Demons,Destruction,Bullet Hell,Dystopian,Zombies,Funny,Combat,Perma Death,Sci-fi","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1884850/ss_3e52d52b5aec3bdd7502bd4bb49aa07af14000b1.1920x1080.jpg?t=1702147327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1884850/ss_fe5e99654c2a27db0e8c6b691bac7dca48e97579.1920x1080.jpg?t=1702147327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1884850/ss_6bade994917ef2373209726762590ce5c72e576d.1920x1080.jpg?t=1702147327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1884850/ss_d156d4aa494b23ee3ad1c8946541814a22b351c7.1920x1080.jpg?t=1702147327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1884850/ss_d77879902d622e3152c90ee941820ade8c44bb0b.1920x1080.jpg?t=1702147327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1884850/ss_79b279ea4c247512c3e2879b4b562c0868fd62d3.1920x1080.jpg?t=1702147327","http://cdn.akamai.steamstatic.com/steam/apps/256874997/movie_max.mp4?t=1646430656"
1040550,"Spring Falls","Nov 17, 2019","20000 - 50000",1,0,4.19,1,"Spring Falls is a puzzle game about water, erosion, and watching things grow. Manipulate the landscape and bring wildflowers to life as you make your way down a peaceful mountainside. Soft visuals, ambient guitar work, and environmental sounds come together to create a meditative, relaxing experience. Features: • 60 hand-crafted levels • Unique gameplay revolving around water flow • Ambient-folk soundtrack and organic atmospheric sounds • Gorgeous mountain vista backdrops","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Portugal', 'Simplified Chinese']","[]","","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1040550/header.jpg?t=1584637440","http://springfallsgame.com","","contact@sparse.ca",True,True,True,0,"",0,839,25,"",12,836,"",0,0,0,0,"SPARSE//GameDev","SPARSE//GameDev","Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Indie","Casual,Indie,Puzzle,Relaxing,Atmospheric,Beautiful,Minimalist,Wholesome","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1040550/ss_08d751fe74f3df848e29e14304f09a1cd1285061.1920x1080.jpg?t=1584637440,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1040550/ss_93f0aad4faa2a0e4d68a94fce8410ff61154d34e.1920x1080.jpg?t=1584637440,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1040550/ss_ed924bb6771b47e4db2642b72efc187b050a85df.1920x1080.jpg?t=1584637440,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1040550/ss_97c7d832b6423f27c1495a492621728194ff7d76.1920x1080.jpg?t=1584637440,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1040550/ss_aed80f20e0a9dfbd30dc4cd65e4ee2cda6ffa9f7.1920x1080.jpg?t=1584637440,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1040550/ss_a134c07c622a9d417a1d6a966a716fd20b54f732.1920x1080.jpg?t=1584637440","http://cdn.akamai.steamstatic.com/steam/apps/256767472/movie_max.mp4?t=1574009681,http://cdn.akamai.steamstatic.com/steam/apps/256766248/movie_max.mp4?t=1573133911,http://cdn.akamai.steamstatic.com/steam/apps/256758389/movie_max.mp4?t=1565133198"
